bottle,sample_matrix,FLU1,FLU2,FLU3,extras
D3,sample,7.681,7.202,6.557,
D21,sample,7.927,7.929,7.711,
D12,matrix,93.11,94.79,93.34,
D15,sample,4.194,4.223,4.171,
D11,sample,3.965,4.297,4.2,
D4,matrix,104.1,105,104.2,101.4
D16,sample,5.398,5.299,5.143,
D13,sample,4.725,4.589,4.703,
D20,matrix,92.87,93.48,93.69,
D22,sample,-0.757,-0.2,-0.071,
D23,sample,-0.67,-0.662,-0.354,
D8,matrix,91.82,94.01,93.34,
D7,sample,5.062,5.012,4.826,
D14,sample,-0.323,0.016,-0.208,
D26,matrix,91.61,92.68,92.62,
D6,sample,0.867,0.695,0.421,
D17,sample,0.111,-0.304,-0.13,
D27,matrix,93.86,93.2,93.34,7.927
D1,sample,13.3,13.24,12.92,
D2,sample,7.398,7.558,7.538,
D5,matrix,100.7,99.89,99.56,97.46
F4,sample,2.639,2.674,2.594,
F5,sample,1.414,1.592,1.707,
F20,matrix,91.85,92.33,92.03,
F16,sample,7.589,7.684,7.933,
F26,sample,8.416,8.56,8.393,
F27,matrix,95.83,95.56,95.69,
F23,sample,34.29,35.49,35.24,
F2,sample,31.83,32.97,31.63,
F3,matrix,118.2,118.8,118.3,
F11,sample,-0.243,-0.033,0.314,
F21,sample,-0.018,0.215,0.197,
F22,matrix,92.25,94.32,92.77,
D10,sample,1.605,1.425,1.262,
D24,sample,1.344,1.627,1.59,
D25,matrix,101,100.7,100.1,